（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,松江市,53331061,104,132,
松江地区,松江市,53331062,109,139,
松江地区,松江市,53331063,101,129,
松江地区,松江市,53331064,120,－,
松江地区,松江市,53331065,101,129,
松江地区,松江市,53331066,101,129,
松江地区,松江市,53331067,107,136,
松江地区,松江市,53331068,107,136,
松江地区,松江市,53331069,108,137,
松江地区,松江市,53331070,104,132,
松江地区,松江市,53331071,109,－,
松江地区,松江市,53331072,105,133,
松江地区,松江市,53331073,99,126,
松江地区,松江市,53331074,109,139,
松江地区,松江市,53331075,105,133,
松江地区,松江市,53331076,105,133,
松江地区,松江市,53331077,105,134,
松江地区,松江市,53331078,106,135,
松江地区,松江市,53331079,107,136,
松江地区,松江市,53331080,104,132,
松江地区,松江市,53331081,104,132,
松江地区,松江市,53331082,99,126,
松江地区,松江市,53331083,99,126,
松江地区,松江市,53331084,104,132,
松江地区,松江市,53331085,97,124,
松江地区,松江市,53331086,99,126,
松江地区,松江市,53331087,105,133,
松江地区,松江市,53331088,105,133,
松江地区,松江市,53331089,105,134,
松江地区,松江市,53331090,105,133,
松江地区,松江市,53331091,105,133,
松江地区,松江市,53331092,99,126,
松江地区,松江市,53331093,99,126,
松江地区,松江市,53331094,98,125,
松江地区,松江市,53331095,103,131,
松江地区,松江市,53331096,102,130,
松江地区,松江市,53331097,108,137,
松江地区,松江市,53331098,109,139,
松江地区,松江市,53331099,109,139,
松江地区,松江市,53331100,114,145,
松江地区,松江市,53331101,114,145,
松江地区,松江市,53331102,114,145,
松江地区,松江市,53331103,114,145,
松江地区,松江市,53331104,114,145,
松江地区,松江市,53331110,109,139,
松江地区,松江市,53331111,114,145,
松江地区,松江市,53331112,114,145,
松江地区,松江市,53331113,114,145,
松江地区,松江市,53331114,115,146,
松江地区,松江市,53331120,114,－,
松江地区,松江市,53331121,114,－,
松江地区,松江市,53331122,114,145,
松江地区,松江市,53331123,110,140,
松江地区,松江市,53331124,115,－,
松江地区,松江市,53331130,114,－,
松江地区,松江市,53331131,114,－,
松江地区,松江市,53331132,109,139,
松江地区,松江市,53331133,109,139,
松江地区,松江市,53331140,114,－,
松江地区,松江市,53331141,114,－,
松江地区,松江市,53331150,113,144,
松江地区,松江市,53331160,112,143,
松江地区,松江市,53331161,113,144,
松江地区,松江市,53331170,112,142,
松江地区,松江市,53331171,112,143,
松江地区,松江市,53331172,122,－,
松江地区,松江市,53331180,121,154,
松江地区,松江市,53331181,122,－,
松江地区,松江市,53331182,122,－,
松江地区,松江市,53331183,122,－,
松江地区,松江市,53331184,122,－,
松江地区,松江市,53331185,122,－,
松江地区,松江市,53331190,115,146,
松江地区,松江市,53331192,122,－,
松江地区,松江市,53331193,122,－,
松江地区,松江市,53331194,122,－,
松江地区,松江市,53331195,122,－,
松江地区,松江市,53332000,107,136,
松江地区,松江市,53332001,112,142,
松江地区,松江市,53332002,105,134,
松江地区,松江市,53332003,109,139,
松江地区,松江市,53332004,113,144,
松江地区,松江市,53332005,103,131,
松江地区,松江市,53332006,104,132,
松江地区,松江市,53332007,108,137,
松江地区,松江市,53332008,104,132,
松江地区,松江市,53332009,105,133,
松江地区,松江市,53332010,120,152,
松江地区,松江市,53332011,120,152,
松江地区,松江市,53332012,117,149,
松江地区,松江市,53332013,115,146,
