（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
岡山地域,岡山市,51347026,82,119,
岡山地域,岡山市,51347027,82,119,
岡山地域,岡山市,51347028,82,120,
岡山地域,岡山市,51347030,94,－,
岡山地域,岡山市,51347031,94,－,
岡山地域,岡山市,51347032,94,－,
岡山地域,岡山市,51347033,81,118,
岡山地域,岡山市,51347034,81,118,
岡山地域,岡山市,51347035,82,119,
岡山地域,岡山市,51347036,82,119,
岡山地域,岡山市,51347037,82,120,
岡山地域,岡山市,51347038,82,119,
岡山地域,岡山市,51347040,94,－,
岡山地域,岡山市,51347041,94,－,
岡山地域,岡山市,51347042,94,－,
岡山地域,岡山市,51347043,94,－,
岡山地域,岡山市,51347044,94,－,
岡山地域,岡山市,51347045,82,119,
岡山地域,岡山市,51347046,82,120,
岡山地域,岡山市,51347047,82,119,
岡山地域,岡山市,51347048,82,120,
岡山地域,岡山市,51347050,94,－,
岡山地域,岡山市,51347051,94,－,
岡山地域,岡山市,51347052,94,－,
岡山地域,岡山市,51347053,80,116,
岡山地域,岡山市,51347054,80,117,
岡山地域,岡山市,51347055,82,119,
岡山地域,岡山市,51347056,82,119,
岡山地域,岡山市,51347057,82,119,
岡山地域,岡山市,51347058,82,119,
岡山地域,岡山市,51347060,94,－,
岡山地域,岡山市,51347061,94,－,
岡山地域,岡山市,51347062,94,－,
岡山地域,岡山市,51347063,94,－,
岡山地域,岡山市,51347064,80,116,
岡山地域,岡山市,51347065,80,117,
岡山地域,岡山市,51347070,94,－,
岡山地域,岡山市,51347071,94,－,
岡山地域,岡山市,51347072,94,－,
岡山地域,岡山市,51347073,94,－,
岡山地域,岡山市,51347074,94,－,
岡山地域,岡山市,51347075,80,117,
岡山地域,岡山市,51347080,94,－,
岡山地域,岡山市,51347081,94,－,
岡山地域,岡山市,51347082,94,－,
岡山地域,岡山市,51347083,94,－,
岡山地域,岡山市,51347084,80,116,
岡山地域,岡山市,51347090,80,117,
岡山地域,岡山市,51347091,81,118,
岡山地域,岡山市,51347092,81,118,
岡山地域,岡山市,51347093,80,116,
岡山地域,岡山市,52330604,79,115,
岡山地域,岡山市,52330605,79,115,
岡山地域,岡山市,52330606,79,115,
岡山地域,岡山市,52330607,78,114,
岡山地域,岡山市,52330608,78,114,
岡山地域,岡山市,52330609,78,114,
岡山地域,岡山市,52330614,78,114,
岡山地域,岡山市,52330615,79,115,
岡山地域,岡山市,52330616,79,115,
岡山地域,岡山市,52330617,78,114,
岡山地域,岡山市,52330618,79,115,
岡山地域,岡山市,52330619,78,114,
岡山地域,岡山市,52330624,77,113,
岡山地域,岡山市,52330625,79,－,
岡山地域,岡山市,52330626,79,115,
岡山地域,岡山市,52330627,80,116,
岡山地域,岡山市,52330628,79,115,
岡山地域,岡山市,52330629,78,114,
岡山地域,岡山市,52330633,77,112,
岡山地域,岡山市,52330634,77,113,
岡山地域,岡山市,52330635,78,114,
岡山地域,岡山市,52330636,78,114,
岡山地域,岡山市,52330637,78,114,
岡山地域,岡山市,52330638,79,115,
岡山地域,岡山市,52330639,78,114,
岡山地域,岡山市,52330644,77,113,
岡山地域,岡山市,52330645,77,113,
岡山地域,岡山市,52330646,78,114,
岡山地域,岡山市,52330647,78,114,
岡山地域,岡山市,52330648,79,115,
岡山地域,岡山市,52330649,77,113,
岡山地域,岡山市,52330654,77,113,
岡山地域,岡山市,52330655,77,113,
岡山地域,岡山市,52330656,77,113,
岡山地域,岡山市,52330657,77,113,
岡山地域,岡山市,52330658,77,113,
岡山地域,岡山市,52330659,77,113,
岡山地域,岡山市,52330664,77,113,
岡山地域,岡山市,52330665,77,113,
岡山地域,岡山市,52330666,77,113,
岡山地域,岡山市,52330667,77,113,
岡山地域,岡山市,52330668,77,113,
岡山地域,岡山市,52330669,77,113,
岡山地域,岡山市,52330673,77,113,
岡山地域,岡山市,52330674,79,115,
岡山地域,岡山市,52330675,77,113,
岡山地域,岡山市,52330676,77,113,
岡山地域,岡山市,52330677,77,112,
岡山地域,岡山市,52330678,77,113,
岡山地域,岡山市,52330679,77,113,
岡山地域,岡山市,52330682,77,113,
岡山地域,岡山市,52330683,77,113,
岡山地域,岡山市,52330684,78,114,
岡山地域,岡山市,52330685,77,113,
岡山地域,岡山市,52330686,77,112,
岡山地域,岡山市,52330687,77,113,
岡山地域,岡山市,52330688,78,114,
岡山地域,岡山市,52330689,77,113,
岡山地域,岡山市,52330691,77,113,
岡山地域,岡山市,52330692,77,113,
岡山地域,岡山市,52330693,77,113,
岡山地域,岡山市,52330694,77,113,
岡山地域,岡山市,52330695,77,113,
岡山地域,岡山市,52330696,77,112,
岡山地域,岡山市,52330697,78,114,
岡山地域,岡山市,52330698,80,116,
岡山地域,岡山市,52330699,79,115,
岡山地域,岡山市,52330700,78,114,
岡山地域,岡山市,52330701,79,115,
岡山地域,岡山市,52330702,80,117,
岡山地域,岡山市,52330703,94,－,
岡山地域,岡山市,52330704,94,－,
岡山地域,岡山市,52330705,94,－,
岡山地域,岡山市,52330706,81,118,
岡山地域,岡山市,52330707,80,116,
岡山地域,岡山市,52330708,80,116,
岡山地域,岡山市,52330709,80,116,
岡山地域,岡山市,52330710,77,113,
岡山地域,岡山市,52330711,78,114,
岡山地域,岡山市,52330712,80,116,
岡山地域,岡山市,52330713,94,－,
岡山地域,岡山市,52330714,94,－,
岡山地域,岡山市,52330715,94,－,
岡山地域,岡山市,52330716,94,－,
岡山地域,岡山市,52330717,94,－,
岡山地域,岡山市,52330718,94,－,
岡山地域,岡山市,52330719,94,－,
岡山地域,岡山市,52330720,78,114,
岡山地域,岡山市,52330721,77,113,
岡山地域,岡山市,52330722,80,116,
岡山地域,岡山市,52330723,80,116,
岡山地域,岡山市,52330724,82,119,
岡山地域,岡山市,52330725,94,－,
岡山地域,岡山市,52330726,94,－,
岡山地域,岡山市,52330727,94,－,
岡山地域,岡山市,52330728,80,116,
岡山地域,岡山市,52330729,80,116,
岡山地域,岡山市,52330730,77,113,
岡山地域,岡山市,52330731,77,113,
岡山地域,岡山市,52330732,78,114,
岡山地域,岡山市,52330733,80,116,
岡山地域,岡山市,52330734,80,117,
岡山地域,岡山市,52330735,80,117,
岡山地域,岡山市,52330736,80,116,
岡山地域,岡山市,52330737,80,116,
岡山地域,岡山市,52330738,79,115,
岡山地域,岡山市,52330739,80,116,
岡山地域,岡山市,52330740,77,113,
岡山地域,岡山市,52330741,77,113,
岡山地域,岡山市,52330742,77,113,
岡山地域,岡山市,52330743,79,115,
岡山地域,岡山市,52330744,79,115,
岡山地域,岡山市,52330745,79,115,
岡山地域,岡山市,52330746,80,116,
岡山地域,岡山市,52330747,80,116,
岡山地域,岡山市,52330748,79,115,
岡山地域,岡山市,52330749,79,115,
岡山地域,岡山市,52330750,77,113,
岡山地域,岡山市,52330751,77,113,
岡山地域,岡山市,52330752,77,113,
岡山地域,岡山市,52330753,78,114,
岡山地域,岡山市,52330754,78,114,
岡山地域,岡山市,52330755,79,115,
岡山地域,岡山市,52330756,80,116,
岡山地域,岡山市,52330757,80,116,
岡山地域,岡山市,52330758,79,115,
岡山地域,岡山市,52330759,79,115,
岡山地域,岡山市,52330760,77,113,
岡山地域,岡山市,52330761,77,113,
岡山地域,岡山市,52330762,77,113,
岡山地域,岡山市,52330763,78,114,
岡山地域,岡山市,52330764,78,114,
岡山地域,岡山市,52330765,80,116,
岡山地域,岡山市,52330766,80,116,
岡山地域,岡山市,52330767,80,116,
岡山地域,岡山市,52330768,80,116,
岡山地域,岡山市,52330769,80,116,
岡山地域,岡山市,52330770,77,113,
岡山地域,岡山市,52330771,77,113,
岡山地域,岡山市,52330772,77,113,
岡山地域,岡山市,52330773,79,115,
岡山地域,岡山市,52330774,80,116,
岡山地域,岡山市,52330775,80,116,
岡山地域,岡山市,52330776,80,116,
岡山地域,岡山市,52330777,80,116,
岡山地域,岡山市,52330778,80,116,
岡山地域,岡山市,52330780,77,113,
岡山地域,岡山市,52330781,77,113,
岡山地域,岡山市,52330782,78,114,
岡山地域,岡山市,52330783,80,116,
岡山地域,岡山市,52330784,81,118,
岡山地域,岡山市,52330785,80,117,
岡山地域,岡山市,52330786,80,116,
岡山地域,岡山市,52330787,80,116,
岡山地域,岡山市,52330788,80,116,
岡山地域,岡山市,52330790,78,114,
岡山地域,岡山市,52330791,78,114,
岡山地域,岡山市,52330792,80,116,
岡山地域,岡山市,52330793,82,119,
岡山地域,岡山市,52330794,82,119,
岡山地域,岡山市,52330795,80,117,
岡山地域,岡山市,52330796,80,116,
岡山地域,岡山市,52330797,80,116,
岡山地域,岡山市,52331519,79,115,
岡山地域,岡山市,52331529,79,115,
岡山地域,岡山市,52331600,78,114,
岡山地域,岡山市,52331601,77,113,
岡山地域,岡山市,52331602,78,114,
岡山地域,岡山市,52331603,77,113,
岡山地域,岡山市,52331604,77,113,
岡山地域,岡山市,52331605,77,113,
岡山地域,岡山市,52331606,77,113,
岡山地域,岡山市,52331607,79,115,
岡山地域,岡山市,52331608,80,116,
岡山地域,岡山市,52331609,80,116,
岡山地域,岡山市,52331610,78,114,
岡山地域,岡山市,52331611,77,113,
岡山地域,岡山市,52331612,77,113,
岡山地域,岡山市,52331613,78,114,
岡山地域,岡山市,52331614,77,113,
岡山地域,岡山市,52331615,77,113,
岡山地域,岡山市,52331616,77,113,
岡山地域,岡山市,52331617,77,113,
岡山地域,岡山市,52331618,78,114,
岡山地域,岡山市,52331619,80,116,
岡山地域,岡山市,52331620,78,114,
岡山地域,岡山市,52331621,79,115,
岡山地域,岡山市,52331622,78,114,
岡山地域,岡山市,52331623,78,114,
岡山地域,岡山市,52331624,78,114,
岡山地域,岡山市,52331625,77,113,
岡山地域,岡山市,52331626,77,113,
岡山地域,岡山市,52331627,77,113,
岡山地域,岡山市,52331628,77,113,
岡山地域,岡山市,52331629,77,113,
岡山地域,岡山市,52331630,80,116,
岡山地域,岡山市,52331631,78,114,
岡山地域,岡山市,52331632,80,116,
岡山地域,岡山市,52331633,79,115,
岡山地域,岡山市,52331634,79,115,
岡山地域,岡山市,52331635,77,113,
岡山地域,岡山市,52331636,77,113,
岡山地域,岡山市,52331637,77,113,
岡山地域,岡山市,52331638,77,113,
岡山地域,岡山市,52331639,77,112,
岡山地域,岡山市,52331641,78,114,
岡山地域,岡山市,52331642,79,115,
岡山地域,岡山市,52331643,80,116,
岡山地域,岡山市,52331644,80,116,
岡山地域,岡山市,52331645,80,116,
岡山地域,岡山市,52331646,77,113,
岡山地域,岡山市,52331647,77,113,
岡山地域,岡山市,52331648,77,113,
岡山地域,岡山市,52331649,77,113,
岡山地域,岡山市,52331652,80,116,
岡山地域,岡山市,52331653,80,116,
岡山地域,岡山市,52331654,80,116,
岡山地域,岡山市,52331655,80,116,
岡山地域,岡山市,52331656,80,116,
岡山地域,岡山市,52331657,80,116,
岡山地域,岡山市,52331658,79,115,
岡山地域,岡山市,52331659,77,113,
岡山地域,岡山市,52331662,80,117,
岡山地域,岡山市,52331663,80,117,
岡山地域,岡山市,52331664,80,117,
岡山地域,岡山市,52331665,80,117,
岡山地域,岡山市,52331666,80,117,
岡山地域,岡山市,52331667,80,116,
岡山地域,岡山市,52331668,80,116,
岡山地域,岡山市,52331669,77,113,
岡山地域,岡山市,52331673,82,119,
岡山地域,岡山市,52331676,80,116,
岡山地域,岡山市,52331677,80,116,
岡山地域,岡山市,52331678,80,116,
岡山地域,岡山市,52331679,79,115,
岡山地域,岡山市,52331686,80,116,
岡山地域,岡山市,52331687,80,116,
岡山地域,岡山市,52331688,80,116,
岡山地域,岡山市,52331689,79,115,
岡山地域,岡山市,52331695,80,116,
岡山地域,岡山市,52331696,80,116,
岡山地域,岡山市,52331697,80,116,
岡山地域,岡山市,52331698,80,116,
岡山地域,岡山市,52331699,80,116,
岡山地域,岡山市,52331700,80,116,
岡山地域,岡山市,52331701,80,116,
岡山地域,岡山市,52331702,80,117,
岡山地域,岡山市,52331703,82,119,
岡山地域,岡山市,52331704,81,118,
岡山地域,岡山市,52331705,80,117,
岡山地域,岡山市,52331706,80,116,
岡山地域,岡山市,52331707,80,116,
岡山地域,岡山市,52331710,78,114,
岡山地域,岡山市,52331711,79,115,
岡山地域,岡山市,52331712,80,117,
岡山地域,岡山市,52331713,81,118,
岡山地域,岡山市,52331714,80,116,
岡山地域,岡山市,52331715,80,116,
岡山地域,岡山市,52331716,79,115,
岡山地域,岡山市,52331717,80,116,
岡山地域,岡山市,52331718,80,116,
岡山地域,岡山市,52331720,77,113,
岡山地域,岡山市,52331721,78,114,
岡山地域,岡山市,52331722,79,115,
岡山地域,岡山市,52331723,80,116,
岡山地域,岡山市,52331724,80,116,
岡山地域,岡山市,52331725,80,116,
岡山地域,岡山市,52331726,80,116,
岡山地域,岡山市,52331727,80,116,
岡山地域,岡山市,52331730,77,113,
岡山地域,岡山市,52331731,78,114,
岡山地域,岡山市,52331732,79,115,
岡山地域,岡山市,52331733,79,115,
岡山地域,岡山市,52331734,80,116,
岡山地域,岡山市,52331735,80,116,
岡山地域,岡山市,52331736,79,115,
岡山地域,岡山市,52331737,80,116,
岡山地域,岡山市,52331740,77,113,
岡山地域,岡山市,52331741,78,114,
岡山地域,岡山市,52331742,79,115,
岡山地域,岡山市,52331743,80,117,
岡山地域,岡山市,52331744,82,119,
岡山地域,岡山市,52331745,80,117,
岡山地域,岡山市,52331746,79,115,
岡山地域,岡山市,52331750,77,113,
岡山地域,岡山市,52331751,77,113,
岡山地域,岡山市,52331752,80,116,
岡山地域,岡山市,52331753,80,117,
岡山地域,岡山市,52331754,81,118,
岡山地域,岡山市,52331755,81,118,
岡山地域,岡山市,52331756,80,116,
岡山地域,岡山市,52331757,78,114,
岡山地域,岡山市,52331760,77,113,
岡山地域,岡山市,52331761,77,113,
岡山地域,岡山市,52331762,79,115,
岡山地域,岡山市,52331763,79,115,
岡山地域,岡山市,52331764,80,117,
岡山地域,岡山市,52331765,81,118,
岡山地域,岡山市,52331766,80,116,
岡山地域,岡山市,52331767,79,115,
岡山地域,岡山市,52331770,77,113,
岡山地域,岡山市,52331771,78,114,
岡山地域,岡山市,52331772,77,113,
岡山地域,岡山市,52331773,79,115,
岡山地域,岡山市,52331774,80,116,
岡山地域,岡山市,52331775,80,116,
岡山地域,岡山市,52331776,80,116,
岡山地域,岡山市,52331777,79,115,
岡山地域,岡山市,52331778,79,115,
岡山地域,岡山市,52331780,78,114,
岡山地域,岡山市,52331781,77,113,
岡山地域,岡山市,52331782,77,113,
岡山地域,岡山市,52331783,78,114,
岡山地域,岡山市,52331784,79,115,
岡山地域,岡山市,52331785,80,116,
岡山地域,岡山市,52331786,80,116,
岡山地域,岡山市,52331787,79,115,
岡山地域,岡山市,52331788,78,114,
岡山地域,岡山市,52331790,78,114,
岡山地域,岡山市,52331791,78,114,
岡山地域,岡山市,52331792,78,114,
岡山地域,岡山市,52331793,78,114,
岡山地域,岡山市,52331794,79,115,
岡山地域,岡山市,52331795,79,115,
岡山地域,岡山市,52331796,78,114,
岡山地域,岡山市,52331797,79,115,
岡山地域,岡山市,52331798,78,114,
岡山地域,岡山市,52332606,80,117,
岡山地域,岡山市,52332607,80,116,
岡山地域,岡山市,52332608,80,116,
岡山地域,岡山市,52332609,79,115,
岡山地域,岡山市,52332617,80,116,
岡山地域,岡山市,52332618,79,115,
岡山地域,岡山市,52332619,79,115,
岡山地域,岡山市,52332628,80,116,
岡山地域,岡山市,52332629,80,116,
岡山地域,岡山市,52332638,80,116,
岡山地域,岡山市,52332639,80,116,
岡山地域,岡山市,52332648,80,116,
岡山地域,岡山市,52332649,80,116,
岡山地域,岡山市,52332658,79,115,
岡山地域,岡山市,52332659,80,116,
岡山地域,岡山市,52332668,79,115,
岡山地域,岡山市,52332669,80,116,
岡山地域,岡山市,52332679,80,116,
岡山地域,岡山市,52332699,82,119,
岡山地域,岡山市,52332700,79,115,
岡山地域,岡山市,52332701,77,113,
岡山地域,岡山市,52332702,77,113,
岡山地域,岡山市,52332703,77,113,
岡山地域,岡山市,52332704,78,114,
岡山地域,岡山市,52332705,79,115,
岡山地域,岡山市,52332706,78,114,
岡山地域,岡山市,52332707,78,114,
岡山地域,岡山市,52332708,78,114,
岡山地域,岡山市,52332710,79,115,
岡山地域,岡山市,52332711,79,115,
岡山地域,岡山市,52332712,78,114,
岡山地域,岡山市,52332713,77,113,
岡山地域,岡山市,52332714,78,114,
岡山地域,岡山市,52332715,78,114,
岡山地域,岡山市,52332716,78,114,
岡山地域,岡山市,52332717,78,114,
岡山地域,岡山市,52332718,79,115,
岡山地域,岡山市,52332720,80,116,
岡山地域,岡山市,52332721,79,115,
岡山地域,岡山市,52332722,79,115,
岡山地域,岡山市,52332723,79,115,
岡山地域,岡山市,52332724,80,116,
岡山地域,岡山市,52332725,78,114,
岡山地域,岡山市,52332726,78,114,
岡山地域,岡山市,52332730,80,116,
岡山地域,岡山市,52332731,80,117,
岡山地域,岡山市,52332732,81,118,
岡山地域,岡山市,52332733,80,116,
岡山地域,岡山市,52332734,79,115,
岡山地域,岡山市,52332735,79,115,
岡山地域,岡山市,52332736,80,116,
岡山地域,岡山市,52332740,80,116,
岡山地域,岡山市,52332741,82,119,
岡山地域,岡山市,52332742,82,119,
岡山地域,岡山市,52332743,80,117,
岡山地域,岡山市,52332744,79,115,
岡山地域,岡山市,52332746,79,115,
岡山地域,岡山市,52332750,80,116,
岡山地域,岡山市,52332751,80,117,
岡山地域,岡山市,52332752,81,118,
岡山地域,岡山市,52332753,80,116,
岡山地域,岡山市,52332754,80,116,
岡山地域,岡山市,52332760,80,116,
岡山地域,岡山市,52332761,80,116,
岡山地域,岡山市,52332762,80,116,
岡山地域,岡山市,52332763,79,115,
岡山地域,岡山市,52332764,79,115,
岡山地域,岡山市,52332770,80,116,
岡山地域,岡山市,52332771,79,115,
岡山地域,岡山市,52332772,79,115,
岡山地域,岡山市,52332773,77,113,
岡山地域,岡山市,52332780,80,116,
岡山地域,岡山市,52332781,79,115,
岡山地域,岡山市,52332782,80,116,
岡山地域,岡山市,52332790,81,118,
岡山地域,岡山市,52332791,78,114,
岡山地域,岡山市,52333608,82,120,
岡山地域,岡山市,52333609,82,119,
岡山地域,岡山市,52333618,82,119,
岡山地域,岡山市,52333619,81,118,
岡山地域,岡山市,52333628,80,116,
