（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
高知中央,土佐市,50331289,241,327,
高知中央,土佐市,50331296,222,300,
高知中央,土佐市,50331297,222,300,
高知中央,土佐市,50331298,219,297,
高知中央,土佐市,50331299,218,295,
高知中央,土佐市,50331305,223,302,
高知中央,土佐市,50331306,221,299,
高知中央,土佐市,50331315,224,304,
高知中央,土佐市,50331316,222,300,
高知中央,土佐市,50331324,225,305,
高知中央,土佐市,50331325,226,306,
高知中央,土佐市,50331326,223,302,
高知中央,土佐市,50331334,225,305,
高知中央,土佐市,50331335,226,－,
高知中央,土佐市,50331336,224,304,
高知中央,土佐市,50331340,233,315,
高知中央,土佐市,50331344,226,306,
高知中央,土佐市,50331345,224,304,
高知中央,土佐市,50331346,225,305,
高知中央,土佐市,50331347,222,301,
高知中央,土佐市,50331348,224,－,
高知中央,土佐市,50331350,234,317,
高知中央,土佐市,50331351,233,316,
高知中央,土佐市,50331354,227,308,
高知中央,土佐市,50331355,227,307,
高知中央,土佐市,50331356,227,308,
高知中央,土佐市,50331357,224,304,
高知中央,土佐市,50331360,236,320,
高知中央,土佐市,50331361,179,243,
高知中央,土佐市,50331362,234,317,
高知中央,土佐市,50331363,232,314,
高知中央,土佐市,50331364,230,312,
高知中央,土佐市,50331365,230,311,
高知中央,土佐市,50331366,228,309,
高知中央,土佐市,50331370,239,324,
高知中央,土佐市,50331371,238,322,
高知中央,土佐市,50331372,236,320,
高知中央,土佐市,50331373,236,320,
高知中央,土佐市,50331374,233,316,
高知中央,土佐市,50331375,233,316,
高知中央,土佐市,50331376,233,316,
高知中央,土佐市,50331380,171,232,
高知中央,土佐市,50331381,239,323,
高知中央,土佐市,50331382,237,321,
高知中央,土佐市,50331383,236,320,
高知中央,土佐市,50331384,236,319,
高知中央,土佐市,50331385,236,320,
高知中央,土佐市,50331386,235,318,
高知中央,土佐市,50331390,241,326,
高知中央,土佐市,50331391,239,323,
高知中央,土佐市,50331392,237,321,
高知中央,土佐市,50331393,237,321,
高知中央,土佐市,50331394,239,－,
高知中央,土佐市,50331395,239,－,
高知中央,土佐市,50332209,218,295,
高知中央,土佐市,50332300,217,294,
高知中央,土佐市,50332301,216,292,
高知中央,土佐市,50332302,239,324,
高知中央,土佐市,50332303,174,236,
高知中央,土佐市,50332304,239,－,
高知中央,土佐市,50332311,216,293,
高知中央,土佐市,50332312,177,240,
高知中央,土佐市,50332313,239,324,
高知中央,土佐市,50332314,236,320,
高知中央,土佐市,50332323,213,288,
高知中央,須崎市,50330139,245,332,
高知中央,須崎市,50330149,247,335,
高知中央,須崎市,50330154,267,－,
高知中央,須崎市,50330155,262,355,
高知中央,須崎市,50330158,255,345,
高知中央,須崎市,50330159,250,338,
高知中央,須崎市,50330164,264,358,
高知中央,須崎市,50330165,262,355,
高知中央,須崎市,50330166,261,353,
高知中央,須崎市,50330167,259,351,
高知中央,須崎市,50330168,256,346,
高知中央,須崎市,50330169,251,340,
高知中央,須崎市,50330174,264,357,
高知中央,須崎市,50330175,261,354,
高知中央,須崎市,50330176,260,352,
高知中央,須崎市,50330177,258,349,
高知中央,須崎市,50330178,255,345,
高知中央,須崎市,50330179,253,342,
高知中央,須崎市,50330186,259,350,
高知中央,須崎市,50330187,257,348,
高知中央,須崎市,50330188,192,260,
高知中央,須崎市,50330189,253,342,
高知中央,須崎市,50330197,256,347,
高知中央,須崎市,50330198,254,344,
高知中央,須崎市,50330199,252,341,
高知中央,須崎市,50330201,233,315,
高知中央,須崎市,50330211,233,315,
高知中央,須崎市,50330220,236,320,
高知中央,須崎市,50330221,235,318,
高知中央,須崎市,50330224,227,307,
高知中央,須崎市,50330225,224,303,
高知中央,須崎市,50330230,239,324,
高知中央,須崎市,50330231,237,321,
高知中央,須崎市,50330233,234,317,
高知中央,須崎市,50330234,230,312,
高知中央,須崎市,50330235,226,306,
高知中央,須崎市,50330236,224,303,
高知中央,須崎市,50330240,241,327,
高知中央,須崎市,50330241,239,324,
高知中央,須崎市,50330243,253,－,
高知中央,須崎市,50330244,253,－,
高知中央,須崎市,50330245,230,311,
高知中央,須崎市,50330246,226,306,
高知中央,須崎市,50330250,245,332,
高知中央,須崎市,50330251,244,331,
高知中央,須崎市,50330252,243,329,
高知中央,須崎市,50330253,242,328,
高知中央,須崎市,50330254,236,320,
高知中央,須崎市,50330255,253,342,
高知中央,須崎市,50330256,227,308,
高知中央,須崎市,50330260,245,332,
高知中央,須崎市,50330261,246,333,
高知中央,須崎市,50330262,245,332,
高知中央,須崎市,50330263,243,329,
高知中央,須崎市,50330264,238,322,
高知中央,須崎市,50330265,233,316,
高知中央,須崎市,50330266,230,311,
高知中央,須崎市,50330270,248,336,
高知中央,須崎市,50330271,245,332,
高知中央,須崎市,50330272,246,333,
高知中央,須崎市,50330273,244,330,
高知中央,須崎市,50330274,239,324,
高知中央,須崎市,50330275,235,318,
高知中央,須崎市,50330276,232,314,
高知中央,須崎市,50330277,230,311,
高知中央,須崎市,50330279,231,－,
高知中央,須崎市,50330280,248,336,
高知中央,須崎市,50330281,245,332,
高知中央,須崎市,50330282,245,332,
高知中央,須崎市,50330283,244,331,
高知中央,須崎市,50330284,241,327,
高知中央,須崎市,50330285,237,321,
高知中央,須崎市,50330286,235,318,
高知中央,須崎市,50330287,233,315,
高知中央,須崎市,50330288,231,313,
高知中央,須崎市,50330289,229,310,
高知中央,須崎市,50330290,250,338,
高知中央,須崎市,50330291,245,332,
高知中央,須崎市,50330292,245,332,
高知中央,須崎市,50330293,246,333,
高知中央,須崎市,50330294,245,332,
高知中央,須崎市,50330295,239,324,
高知中央,須崎市,50330296,236,320,
高知中央,須崎市,50330297,233,316,
高知中央,須崎市,50330298,233,315,
高知中央,須崎市,50330299,232,314,
高知中央,須崎市,50330370,231,－,
高知中央,須崎市,50330372,224,－,
高知中央,須崎市,50330380,226,306,
高知中央,須崎市,50330381,224,304,
高知中央,須崎市,50330382,222,300,
高知中央,須崎市,50330383,224,－,
高知中央,須崎市,50330384,224,－,
高知中央,須崎市,50330390,229,310,
高知中央,須崎市,50330391,227,307,
高知中央,須崎市,50330392,222,301,
高知中央,須崎市,50330393,222,300,
高知中央,須崎市,50330394,222,301,
高知中央,須崎市,50330395,224,－,
高知中央,須崎市,50331107,257,348,
高知中央,須崎市,50331108,256,347,
高知中央,須崎市,50331109,253,342,
高知中央,須崎市,50331117,257,348,
高知中央,須崎市,50331118,257,348,
高知中央,須崎市,50331119,254,344,
高知中央,須崎市,50331200,250,339,
高知中央,須崎市,50331201,183,248,
高知中央,須崎市,50331202,247,334,
高知中央,須崎市,50331203,247,335,
高知中央,須崎市,50331204,245,332,
高知中央,須崎市,50331205,240,325,
高知中央,須崎市,50331206,238,322,
高知中央,須崎市,50331207,235,318,
高知中央,須崎市,50331208,233,315,
高知中央,須崎市,50331209,233,315,
高知中央,須崎市,50331210,253,342,
高知中央,須崎市,50331211,224,303,
高知中央,須崎市,50331212,222,301,
高知中央,須崎市,50331213,248,336,
高知中央,須崎市,50331214,245,332,
高知中央,須崎市,50331215,241,326,
高知中央,須崎市,50331216,239,324,
高知中央,須崎市,50331217,194,263,
高知中央,須崎市,50331218,234,317,
高知中央,須崎市,50331219,232,314,
高知中央,須崎市,50331220,228,309,
高知中央,須崎市,50331221,224,304,
高知中央,須崎市,50331222,184,249,
高知中央,須崎市,50331223,220,298,
高知中央,須崎市,50331224,244,331,
高知中央,須崎市,50331226,239,324,
高知中央,須崎市,50331227,237,321,
高知中央,須崎市,50331228,235,318,
高知中央,須崎市,50331229,233,316,
高知中央,須崎市,50331233,222,300,
高知中央,須崎市,50331234,221,299,
高知中央,須崎市,50331238,236,320,
高知中央,須崎市,50331239,234,317,
高知中央,須崎市,50331300,230,312,
高知中央,須崎市,50331301,227,307,
高知中央,須崎市,50331302,224,303,
高知中央,須崎市,50331303,222,301,
高知中央,須崎市,50331304,223,302,
高知中央,須崎市,50331310,230,312,
高知中央,須崎市,50331311,228,309,
高知中央,須崎市,50331312,224,304,
高知中央,須崎市,50331313,223,302,
高知中央,須崎市,50331314,224,304,
