（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市安佐北区,51326239,86,117,
広島・呉,広島市安佐北区,51326249,87,118,
広島・呉,広島市安佐北区,51326301,88,120,
広島・呉,広島市安佐北区,51326302,88,120,
広島・呉,広島市安佐北区,51326303,87,118,
広島・呉,広島市安佐北区,51326304,87,118,
広島・呉,広島市安佐北区,51326305,87,118,
広島・呉,広島市安佐北区,51326306,87,118,
広島・呉,広島市安佐北区,51326307,86,117,
広島・呉,広島市安佐北区,51326308,86,117,
広島・呉,広島市安佐北区,51326310,87,118,
広島・呉,広島市安佐北区,51326311,88,120,
広島・呉,広島市安佐北区,51326312,88,119,
広島・呉,広島市安佐北区,51326313,87,118,
広島・呉,広島市安佐北区,51326314,87,118,
広島・呉,広島市安佐北区,51326315,88,119,
広島・呉,広島市安佐北区,51326316,87,118,
広島・呉,広島市安佐北区,51326317,86,117,
広島・呉,広島市安佐北区,51326318,86,117,
広島・呉,広島市安佐北区,51326320,87,118,
広島・呉,広島市安佐北区,51326321,87,118,
広島・呉,広島市安佐北区,51326322,87,118,
広島・呉,広島市安佐北区,51326323,87,118,
広島・呉,広島市安佐北区,51326324,88,119,
広島・呉,広島市安佐北区,51326325,88,119,
広島・呉,広島市安佐北区,51326326,87,118,
広島・呉,広島市安佐北区,51326327,87,118,
広島・呉,広島市安佐北区,51326328,86,117,
広島・呉,広島市安佐北区,51326329,86,117,
広島・呉,広島市安佐北区,51326330,86,117,
広島・呉,広島市安佐北区,51326331,86,117,
広島・呉,広島市安佐北区,51326332,86,117,
広島・呉,広島市安佐北区,51326333,88,119,
広島・呉,広島市安佐北区,51326334,88,119,
広島・呉,広島市安佐北区,51326335,87,118,
広島・呉,広島市安佐北区,51326336,87,118,
広島・呉,広島市安佐北区,51326337,86,117,
広島・呉,広島市安佐北区,51326338,86,117,
広島・呉,広島市安佐北区,51326339,86,117,
広島・呉,広島市安佐北区,51326340,87,118,
広島・呉,広島市安佐北区,51326341,87,118,
広島・呉,広島市安佐北区,51326342,88,119,
広島・呉,広島市安佐北区,51326343,88,120,
広島・呉,広島市安佐北区,51326344,88,120,
広島・呉,広島市安佐北区,51326345,88,119,
広島・呉,広島市安佐北区,51326346,87,118,
広島・呉,広島市安佐北区,51326347,86,117,
広島・呉,広島市安佐北区,51326348,86,117,
広島・呉,広島市安佐北区,51326349,86,117,
広島・呉,広島市安佐北区,51326350,87,118,
広島・呉,広島市安佐北区,51326351,88,119,
広島・呉,広島市安佐北区,51326352,89,121,
広島・呉,広島市安佐北区,51326353,89,121,
広島・呉,広島市安佐北区,51326354,88,120,
広島・呉,広島市安佐北区,51326355,88,119,
広島・呉,広島市安佐北区,51326356,86,117,
広島・呉,広島市安佐北区,51326357,86,117,
広島・呉,広島市安佐北区,51326358,86,117,
広島・呉,広島市安佐北区,51326359,87,118,
広島・呉,広島市安佐北区,51326361,89,121,
広島・呉,広島市安佐北区,51326362,90,122,
広島・呉,広島市安佐北区,51326363,90,122,
広島・呉,広島市安佐北区,51326364,88,119,
広島・呉,広島市安佐北区,51326365,87,118,
広島・呉,広島市安佐北区,51326366,87,118,
広島・呉,広島市安佐北区,51326367,87,118,
広島・呉,広島市安佐北区,51326368,87,118,
広島・呉,広島市安佐北区,51326369,87,118,
広島・呉,広島市安佐北区,51326371,88,120,
広島・呉,広島市安佐北区,51326372,89,121,
広島・呉,広島市安佐北区,51326373,88,120,
広島・呉,広島市安佐北区,51326374,88,120,
広島・呉,広島市安佐北区,51326375,87,118,
広島・呉,広島市安佐北区,51326376,88,119,
広島・呉,広島市安佐北区,51326377,88,119,
広島・呉,広島市安佐北区,51326378,87,118,
広島・呉,広島市安佐北区,51326379,87,118,
広島・呉,広島市安佐北区,51326381,88,120,
広島・呉,広島市安佐北区,51326382,88,120,
広島・呉,広島市安佐北区,51326383,88,119,
広島・呉,広島市安佐北区,51326384,88,120,
広島・呉,広島市安佐北区,51326385,88,120,
広島・呉,広島市安佐北区,51326386,88,120,
広島・呉,広島市安佐北区,51326387,88,120,
広島・呉,広島市安佐北区,51326388,88,120,
広島・呉,広島市安佐北区,51326389,88,119,
広島・呉,広島市安佐北区,51326391,87,118,
広島・呉,広島市安佐北区,51326392,87,118,
広島・呉,広島市安佐北区,51326393,87,118,
広島・呉,広島市安佐北区,51326394,88,119,
広島・呉,広島市安佐北区,51326395,88,120,
広島・呉,広島市安佐北区,51326396,90,122,
広島・呉,広島市安佐北区,51326397,89,121,
広島・呉,広島市安佐北区,51326398,88,120,
広島・呉,広島市安佐北区,51326399,88,120,
広島・呉,広島市安佐北区,51326401,88,120,
広島・呉,広島市安佐北区,51326402,88,119,
広島・呉,広島市安佐北区,51326403,87,118,
広島・呉,広島市安佐北区,51326404,86,117,
広島・呉,広島市安佐北区,51326405,86,117,
広島・呉,広島市安佐北区,51326406,86,117,
広島・呉,広島市安佐北区,51326407,87,118,
広島・呉,広島市安佐北区,51326408,86,117,
広島・呉,広島市安佐北区,51326409,86,117,
広島・呉,広島市安佐北区,51326410,88,119,
広島・呉,広島市安佐北区,51326411,88,120,
広島・呉,広島市安佐北区,51326412,87,118,
広島・呉,広島市安佐北区,51326413,87,118,
広島・呉,広島市安佐北区,51326414,87,118,
広島・呉,広島市安佐北区,51326415,86,117,
広島・呉,広島市安佐北区,51326416,86,117,
広島・呉,広島市安佐北区,51326417,86,117,
広島・呉,広島市安佐北区,51326418,86,117,
