（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
徳島・鳴門,徳島市,51341437,185,－,
徳島・鳴門,徳島市,51341441,185,－,
徳島・鳴門,徳島市,51341442,185,－,
徳島・鳴門,徳島市,51341445,185,－,
徳島・鳴門,徳島市,51341446,185,－,
徳島・鳴門,鳴門市,51341389,166,228,
徳島・鳴門,鳴門市,51341399,165,227,
徳島・鳴門,鳴門市,51341461,185,－,
徳島・鳴門,鳴門市,51341462,185,－,
徳島・鳴門,鳴門市,51341470,185,－,
徳島・鳴門,鳴門市,51341471,185,－,
徳島・鳴門,鳴門市,51341472,185,－,
徳島・鳴門,鳴門市,51341473,185,－,
徳島・鳴門,鳴門市,51341474,185,－,
徳島・鳴門,鳴門市,51341479,185,－,
徳島・鳴門,鳴門市,51341480,185,－,
徳島・鳴門,鳴門市,51341481,168,231,
徳島・鳴門,鳴門市,51341482,168,231,
徳島・鳴門,鳴門市,51341483,185,－,
徳島・鳴門,鳴門市,51341484,185,－,
徳島・鳴門,鳴門市,51341485,185,－,
徳島・鳴門,鳴門市,51341486,185,－,
徳島・鳴門,鳴門市,51341487,185,－,
徳島・鳴門,鳴門市,51341488,185,－,
徳島・鳴門,鳴門市,51341489,185,－,
徳島・鳴門,鳴門市,51341490,166,228,
徳島・鳴門,鳴門市,51341491,167,229,
徳島・鳴門,鳴門市,51341492,167,230,
徳島・鳴門,鳴門市,51341493,166,228,
徳島・鳴門,鳴門市,51341494,165,227,
徳島・鳴門,鳴門市,51341495,185,－,
徳島・鳴門,鳴門市,51341496,185,－,
徳島・鳴門,鳴門市,51341497,185,－,
徳島・鳴門,鳴門市,51341498,185,－,
徳島・鳴門,鳴門市,51341499,185,－,
徳島・鳴門,鳴門市,51341580,185,－,
徳島・鳴門,鳴門市,51341590,185,－,
徳島・鳴門,鳴門市,51342308,165,227,
徳島・鳴門,鳴門市,51342309,165,227,
徳島・鳴門,鳴門市,51342317,166,228,
徳島・鳴門,鳴門市,51342318,166,228,
徳島・鳴門,鳴門市,51342319,166,228,
徳島・鳴門,鳴門市,51342326,167,230,
徳島・鳴門,鳴門市,51342327,168,231,
徳島・鳴門,鳴門市,51342328,167,230,
徳島・鳴門,鳴門市,51342329,167,230,
徳島・鳴門,鳴門市,51342335,173,238,
徳島・鳴門,鳴門市,51342336,173,237,
徳島・鳴門,鳴門市,51342337,170,233,
徳島・鳴門,鳴門市,51342338,168,231,
徳島・鳴門,鳴門市,51342339,168,231,
徳島・鳴門,鳴門市,51342345,176,242,
徳島・鳴門,鳴門市,51342346,175,240,
徳島・鳴門,鳴門市,51342347,173,237,
徳島・鳴門,鳴門市,51342348,170,234,
徳島・鳴門,鳴門市,51342349,170,233,
徳島・鳴門,鳴門市,51342357,173,238,
徳島・鳴門,鳴門市,51342358,173,237,
徳島・鳴門,鳴門市,51342359,172,236,
徳島・鳴門,鳴門市,51342368,173,238,
徳島・鳴門,鳴門市,51342369,173,237,
徳島・鳴門,鳴門市,51342400,165,227,
徳島・鳴門,鳴門市,51342401,166,228,
徳島・鳴門,鳴門市,51342402,166,228,
徳島・鳴門,鳴門市,51342403,166,228,
徳島・鳴門,鳴門市,51342404,165,227,
徳島・鳴門,鳴門市,51342405,164,225,
徳島・鳴門,鳴門市,51342406,162,222,
徳島・鳴門,鳴門市,51342407,160,220,
徳島・鳴門,鳴門市,51342408,159,219,
徳島・鳴門,鳴門市,51342409,185,－,
徳島・鳴門,鳴門市,51342410,166,228,
徳島・鳴門,鳴門市,51342411,166,228,
徳島・鳴門,鳴門市,51342412,166,228,
徳島・鳴門,鳴門市,51342413,166,228,
徳島・鳴門,鳴門市,51342414,164,225,
徳島・鳴門,鳴門市,51342415,164,225,
徳島・鳴門,鳴門市,51342416,162,222,
徳島・鳴門,鳴門市,51342417,159,219,
徳島・鳴門,鳴門市,51342418,159,219,
徳島・鳴門,鳴門市,51342419,159,219,
徳島・鳴門,鳴門市,51342420,166,228,
徳島・鳴門,鳴門市,51342421,166,228,
徳島・鳴門,鳴門市,51342422,166,228,
徳島・鳴門,鳴門市,51342423,166,228,
徳島・鳴門,鳴門市,51342424,164,225,
徳島・鳴門,鳴門市,51342425,164,225,
徳島・鳴門,鳴門市,51342426,162,223,
徳島・鳴門,鳴門市,51342427,162,222,
徳島・鳴門,鳴門市,51342428,159,219,
徳島・鳴門,鳴門市,51342429,157,216,
徳島・鳴門,鳴門市,51342430,167,230,
徳島・鳴門,鳴門市,51342431,166,228,
徳島・鳴門,鳴門市,51342432,167,230,
徳島・鳴門,鳴門市,51342433,166,228,
徳島・鳴門,鳴門市,51342434,164,226,
徳島・鳴門,鳴門市,51342435,164,225,
徳島・鳴門,鳴門市,51342436,163,224,
徳島・鳴門,鳴門市,51342437,162,222,
徳島・鳴門,鳴門市,51342438,160,220,
徳島・鳴門,鳴門市,51342439,159,218,
徳島・鳴門,鳴門市,51342440,170,233,
徳島・鳴門,鳴門市,51342441,170,233,
徳島・鳴門,鳴門市,51342442,169,232,
徳島・鳴門,鳴門市,51342443,167,230,
徳島・鳴門,鳴門市,51342444,165,227,
徳島・鳴門,鳴門市,51342445,164,226,
徳島・鳴門,鳴門市,51342446,163,224,
徳島・鳴門,鳴門市,51342447,164,225,
徳島・鳴門,鳴門市,51342448,162,222,
徳島・鳴門,鳴門市,51342449,158,217,
徳島・鳴門,鳴門市,51342450,170,234,
徳島・鳴門,鳴門市,51342451,170,233,
徳島・鳴門,鳴門市,51342452,170,234,
徳島・鳴門,鳴門市,51342453,170,233,
徳島・鳴門,鳴門市,51342454,166,228,
徳島・鳴門,鳴門市,51342455,164,226,
徳島・鳴門,鳴門市,51342456,164,225,
徳島・鳴門,鳴門市,51342457,163,224,
徳島・鳴門,鳴門市,51342458,162,222,
徳島・鳴門,鳴門市,51342459,158,217,
徳島・鳴門,鳴門市,51342460,170,234,
徳島・鳴門,鳴門市,51342461,170,233,
徳島・鳴門,鳴門市,51342462,169,232,
徳島・鳴門,鳴門市,51342463,170,234,
徳島・鳴門,鳴門市,51342464,168,231,
徳島・鳴門,鳴門市,51342465,166,228,
徳島・鳴門,鳴門市,51342466,164,225,
徳島・鳴門,鳴門市,51342467,162,223,
徳島・鳴門,鳴門市,51342468,163,－,
徳島・鳴門,鳴門市,51342469,157,216,
徳島・鳴門,鳴門市,51342470,169,232,
徳島・鳴門,鳴門市,51342471,168,231,
徳島・鳴門,鳴門市,51342472,168,231,
徳島・鳴門,鳴門市,51342473,168,231,
徳島・鳴門,鳴門市,51342475,165,227,
徳島・鳴門,鳴門市,51342476,162,223,
徳島・鳴門,鳴門市,51342477,162,223,
徳島・鳴門,鳴門市,51342478,160,220,
徳島・鳴門,鳴門市,51342479,159,219,
徳島・鳴門,鳴門市,51342485,164,225,
徳島・鳴門,鳴門市,51342486,162,223,
徳島・鳴門,鳴門市,51342487,163,224,
徳島・鳴門,鳴門市,51342488,161,221,
徳島・鳴門,鳴門市,51342489,159,219,
徳島・鳴門,鳴門市,51342497,161,221,
徳島・鳴門,鳴門市,51342498,159,219,
徳島・鳴門,鳴門市,51342499,157,216,
徳島・鳴門,鳴門市,51342500,185,－,
徳島・鳴門,鳴門市,51342501,185,－,
徳島・鳴門,鳴門市,51342510,159,218,
徳島・鳴門,鳴門市,51342511,157,216,
徳島・鳴門,鳴門市,51342520,157,216,
徳島・鳴門,鳴門市,51342530,157,216,
徳島・鳴門,鳴門市,51342540,159,－,
徳島・鳴門,鳴門市,51342550,156,215,
徳島・鳴門,鳴門市,51342560,156,215,
徳島・鳴門,鳴門市,51342570,156,214,
徳島・鳴門,鳴門市,51342571,154,211,
徳島・鳴門,鳴門市,51342580,156,215,
徳島・鳴門,鳴門市,51342581,154,212,
徳島・鳴門,鳴門市,51343408,159,218,
徳島・鳴門,鳴門市,51343409,156,215,
徳島・鳴門,小松島市,50347436,187,257,
徳島・鳴門,小松島市,50347446,178,244,
徳島・鳴門,小松島市,50347447,183,252,
徳島・鳴門,小松島市,50347448,181,249,
徳島・鳴門,小松島市,50347456,185,254,
徳島・鳴門,小松島市,50347457,183,252,
徳島・鳴門,小松島市,50347458,182,250,
徳島・鳴門,小松島市,50347466,186,255,
徳島・鳴門,小松島市,50347467,185,254,
徳島・鳴門,小松島市,50347468,183,252,
徳島・鳴門,小松島市,50347469,180,247,
徳島・鳴門,小松島市,50347476,186,255,
徳島・鳴門,小松島市,50347477,184,253,
徳島・鳴門,小松島市,50347478,181,249,
徳島・鳴門,小松島市,50347479,191,－,
徳島・鳴門,小松島市,50347485,186,256,
徳島・鳴門,小松島市,50347486,186,255,
徳島・鳴門,小松島市,50347487,183,252,
徳島・鳴門,小松島市,50347488,181,248,
徳島・鳴門,小松島市,50347489,191,－,
徳島・鳴門,小松島市,50347494,187,257,
徳島・鳴門,小松島市,50347495,186,256,
徳島・鳴門,小松島市,50347496,185,254,
徳島・鳴門,小松島市,50347497,191,－,
徳島・鳴門,小松島市,50347498,191,－,
徳島・鳴門,小松島市,50347499,191,－,
徳島・鳴門,小松島市,50347560,177,243,
徳島・鳴門,小松島市,50347570,191,－,
徳島・鳴門,小松島市,50347580,191,－,
徳島・鳴門,小松島市,50347581,191,－,
徳島・鳴門,小松島市,50347582,191,－,
徳島・鳴門,小松島市,50347590,191,－,
徳島・鳴門,小松島市,50347591,191,－,
徳島・鳴門,小松島市,51340404,186,256,
徳島・鳴門,小松島市,51340405,191,－,
徳島・鳴門,小松島市,51340406,191,－,
徳島・鳴門,小松島市,51340407,191,－,
徳島・鳴門,小松島市,51340415,191,－,
徳島・鳴門,小松島市,51340416,182,250,
徳島・鳴門,小松島市,51340417,181,249,
徳島・鳴門,小松島市,51340425,182,250,
徳島・鳴門,小松島市,51340426,181,248,
徳島・鳴門,小松島市,51340428,179,246,
徳島・鳴門,小松島市,51340500,191,－,
徳島・鳴門,小松島市,51340501,191,－,
徳島・鳴門,小松島市,51340510,191,－,
徳島・鳴門,小松島市,51340511,191,－,
徳島・鳴門,松茂町,51341428,185,－,
徳島・鳴門,松茂町,51341438,185,－,
徳島・鳴門,松茂町,51341447,185,－,
徳島・鳴門,松茂町,51341448,185,－,
徳島・鳴門,松茂町,51341456,185,－,
徳島・鳴門,松茂町,51341457,185,－,
徳島・鳴門,松茂町,51341458,185,－,
徳島・鳴門,松茂町,51341459,185,－,
徳島・鳴門,松茂町,51341465,185,－,
徳島・鳴門,松茂町,51341466,185,－,
徳島・鳴門,松茂町,51341467,185,－,
徳島・鳴門,松茂町,51341468,185,－,
徳島・鳴門,松茂町,51341469,185,－,
徳島・鳴門,松茂町,51341475,185,－,
徳島・鳴門,松茂町,51341476,185,－,
徳島・鳴門,松茂町,51341477,185,－,
徳島・鳴門,松茂町,51341478,185,－,
徳島・鳴門,北島町,51341433,185,－,
徳島・鳴門,北島町,51341434,185,－,
徳島・鳴門,北島町,51341443,185,－,
徳島・鳴門,北島町,51341444,185,－,
徳島・鳴門,北島町,51341452,185,－,
徳島・鳴門,北島町,51341453,185,－,
徳島・鳴門,北島町,51341454,185,－,
徳島・鳴門,北島町,51341455,185,－,
徳島・鳴門,北島町,51341463,185,－,
